OrderId,OrderQuantity,ExpectedDays,ActualDays,Status
0,936,8,11,0
1,638,9,9,1
2,213,5,10,0
3,422,4,4,1
4,992,10,10,1
5,316,3,3,1
6,388,5,5,1
7,620,6,6,1
8,241,5,5,1
9,550,8,8,1
10,523,8,8,1
11,579,7,7,1
12,349,3,3,1
13,696,7,7,1
14,769,8,8,1
15,753,9,9,1
16,380,4,4,1
17,547,10,10,1
18,973,9,11,0
19,686,6,6,1
20,117,4,4,1
21,681,6,6,1
22,573,8,11,0
23,986,6,6,1
24,162,5,5,1
25,814,9,9,1
26,387,5,5,1
27,708,10,10,1
28,996,9,9,1
29,634,8,8,1
30,434,5,5,1
31,905,10,10,1
32,383,3,5,0
33,540,8,8,1
34,178,3,3,1
35,714,6,6,1
36,326,3,3,1
37,176,4,4,1
38,919,7,7,1
39,592,8,8,1
40,480,4,4,1
41,972,8,8,1
42,871,8,8,1
43,735,6,6,1
44,471,4,4,1
45,997,7,10,0
46,820,10,10,1
47,169,3,3,1
48,216,4,4,1
49,550,7,7,1
50,491,3,3,1
51,121,4,4,1
52,131,5,10,0
53,328,4,4,1
54,327,5,5,1
55,354,3,3,1
56,410,4,9,0
57,690,8,9,0
58,227,5,5,1
59,577,10,10,1
60,925,6,8,0
61,923,6,6,1
62,269,4,4,1
63,586,10,10,1
64,840,9,9,1
65,189,4,4,1
66,791,8,8,1
67,658,6,6,1
68,623,8,13,0
69,723,7,7,1
70,744,10,10,1
71,280,4,4,1
72,189,3,5,0
73,162,5,5,1
74,643,9,9,1
75,390,5,10,0
76,635,8,8,1
77,104,3,3,1
78,1001,9,9,1
79,960,6,8,0
80,383,4,8,0
81,931,8,8,1
82,453,3,3,1
83,844,6,6,1
84,826,7,7,1
85,280,5,5,1
86,494,3,3,1
87,871,9,9,1
88,292,5,5,1
89,840,10,10,1
90,990,6,6,1
91,645,6,6,1
92,349,4,4,1
93,465,5,8,0
94,379,5,9,0
95,819,10,10,1
96,223,5,5,1
97,424,3,3,1
98,294,3,6,0
99,472,3,3,1
100,438,5,9,0
101,369,3,3,1
102,560,9,9,1
103,661,9,9,1
104,820,6,6,1
105,751,8,8,1
106,641,6,6,1
107,364,5,8,0
108,101,5,5,1
109,899,9,9,1
110,143,5,5,1
111,817,9,9,1
112,434,4,4,1
113,210,5,5,1
114,819,7,7,1
115,559,7,7,1
116,158,3,4,0
117,472,3,5,0
118,106,5,5,1
119,772,8,8,1
120,923,8,8,1
121,580,10,10,1
